id,type,x,y,z
SABVL,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",3.325,-249.25,24.349998
AVKL,Ring and ventral cord interneuron,1.65,-255.0,22.575
SIBDL,Similar to SIA,-5.2669997,-269.133,45.8
VD7,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-12.349999,57.95,-14.200001
PVQL,"Interneuron, projects along ventral cord to ring",0.85,402.40002,5.15
ALMR,Anterior lateral microtubule cell,-24.15,-60.75,-37.149998
I2R,"Pharyngeal interneurons, ant sensory",-5.7999997,-311.65,54.45
ASHR,"Amphid neurons, single ciliated endings",-9.8,-265.625,41.0
PHBR,"Phasmid neurons, chemosensory",-3.7250001,405.60004,5.475
ALA,"Neuron, sends processes laterally and along dorsal cord",-1.35,-271.0,50.85
DA9,"Ventral cord motor neurons, innervate dorsal muscles",-4.6,376.8,-10.925
RICR,Ring interneuron,-3.563,-267.063,38.087
PVQR,"Interneuron, projects along ventral cord to ring",-3.3,402.40002,5.15
VA4,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,-119.50001,-58.7
VC6,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles,-1.8249999,174.175,1.0
VA8,"Ventral cord motor neuron, innervates vent. body muscles",-1.8,150.3,3.4
URAVR,Ring motor neuron,-4.575,-279.6,41.4
PLNR,"Interneuron, associated with PLM",-6.225,402.3,6.8999996
VB8,"Ventral cord motor neuron, innervates vent. body muscles",-1.8249999,108.8,2.875
RMDL,"Ring motor neuron/interneuron, many synapses",3.1,-271.0,41.2
ADER,"Anterior deirid, sensory neuron",-15.299999,-242.375,32.45
RIGL,Ring interneuron,0.0,-233.25,16.35
OLLL,Lateral outer labial neurons,4.4,-283.9,50.024998
VC3,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles,-1.4499999,-6.45,-54.000004
AQR,"Neuron, basal body. Not part of a sensillum, projects into ring",-14.8,-243.05,33.95
VA1,"Ventral cord motor neuron, innervates vent. body muscles",-1.35,-235.55,11.75
RIPR,"Ring/pharynx interneuron, only direct connection between pharynx and ring",-7.625,-278.57498,48.824997
AIBR,Amphid interneuron,-6.8999996,-266.19998,37.0
AVKR,Ring and ventral cord interneuron,-4.583,-246.95001,19.0
IL2VL,Inner labial neuron,3.3,-288.875,42.95
AVHR,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",-8.900001,-264.4,45.0
ALNR,Neuron associated with ALM,-2.925,406.69998,12.375
AWAR,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",-8.2,-265.875,42.75
BAGR,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",-9.0,-277.09998,44.975002
DB5,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",-4.05,35.25,-30.45
AUAL,"Neuron, process runs with amphid processes but lacks ciliated ending",4.5,-263.975,37.475
VC2,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles,-0.625,-105.325,-63.4
DD4,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",-1.8750001,122.899994,4.5499997
VB3,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,-210.225,-8.725
DB6,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",-1.8249999,178.1,-0.2
RIBR,Ring interneuron,-9.8,-264.35,38.0
PQR,"Neuron, basal body, not part of a sensillum, projects into preanal ganglion",-0.32500002,407.3,7.6499996
BAGL,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",4.675,-277.09998,44.975002
IL2VR,Inner labial neuron,-7.6,-288.875,42.95
SABD,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",-3.2,-234.8,14.925
AS1,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-0.275,-229.038,4.738
I4,Pharyngeal interneuron,-2.05,-253.90001,43.1
PVPL,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",-0.1,366.65002,-14.7
RMFL,Ring motor neuron/interneuron,1.1,-265.05002,34.1
IL1VL,Inner labial neuron,2.25,-279.5,41.0
RIFL,Ring interneuron,0.0,-239.84999,18.35
VB4,"Ventral cord motor neuron, innervates vent. body muscles",-2.0,-173.25,-33.5
PVDR,"Neuron, lateral process adjacent to excretory canal",-26.113998,175.151,24.952
AWBL,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",5.5,-266.225,43.1
OLQDR,Quadrant outer labial neuron,-7.0249996,-280.0,53.425003
I1L,"Pharyngeal interneurons: ant sensory, input from RIP",2.8999999,-300.35,53.149998
VD8,"Ventralcord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.75,135.09999,3.9500003
SMDVL,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",4.7,-270.95,46.65
SIADR,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",-0.38300002,-269.19998,43.65
SIAVL,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",5.9500003,-259.80002,32.25
RMFR,Ring motor neuron/interneuron,-5.4,-265.05002,34.1
AVJL,"Neuron, synapses like AVHL/R",0.2,-264.9,47.55
DD2,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",-1.85,-156.47499,-42.85
SMDDL,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",3.25,-266.25,34.1
AS10,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.9,278.25,-24.0
AS11,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.8750001,315.7,-26.124998
URBR,"Neuron, presynaptic in ring, ending in head",-9.325,-279.95,47.55
M1,Pharyngeal motorneuron,-0.86700004,-252.135,44.420002
RMDDR,"Ring motor neuron/interneuron, many synapses",-7.75,-269.07498,37.65
PDEL,"Neuron, dopaminergic of postderid sensillum",25.75,143.8,25.6
URAVL,Ring motor neuron,0.32500002,-279.6,41.4
PHBL,"Phasmid neurons, chemosensory",1.2,405.60004,5.475
PLMR,"Posterior lateral microtubule cells, touch receptor neurons",-3.675,410.15,8.175
NSML,"Pharyngeal neurosecretory motorneuron, contain serotonin",2.6000001,-292.25,51.8
M2R,Pharyngeal motorneurons,-8.0,-254.34999,38.65
AIBL,Amphid interneuron,2.7,-266.19998,37.0
SIBDR,Similar to SIA,0.96699995,-269.133,45.8
PLNL,"Interneuron, associated with PLM",4.225,402.3,6.8999996
IL1R,Inner labial neuron,-8.075001,-282.67502,47.850002
AVM,"Anterior ventral microtubule cell, touch receptor",-20.5,-55.65,-44.600002
SAAVR,"Ring interneuron, anteriorly projecting process that runs sublaterally",-8.175,-270.90002,45.425
SMBDR,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",-7.0,-264.3,33.1
AS4,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.8750001,-90.200005,-65.375
DA2,"Ventral cord motor neurons, innervate dorsal muscles",-1.9,-190.75,-21.675
PHAL,"Phasmid neurons, chemosensory",1.2,402.9,4.1
RMDVL,"Ring motor neuron/interneuron, many synapses",4.8500004,-271.19998,44.4
RIGR,Ring interneuron,-4.7,-241.95001,20.65
RMED,Ring motor neuron,-1.5,-275.75,58.499996
AS3,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.9,-151.40001,-45.649998
IL1VR,Inner labial neuron,-6.5499997,-279.5,41.0
VD13,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.75,379.85,-10.75
RMDDL,"Ring motor neuron/interneuron, many synapses",3.6,-269.07498,37.65
VB1,"Ventral cord motor neuron, innervates vent. body muscles, also interneuron in ring",-1.55,-246.45,16.4
I2L,"Pharyngeal interneurons, ant sensory",1.55,-311.65,54.45
RMEL,Ring motor neuron,4.65,-274.4,46.987
VA5,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,-54.3,-66.049995
RIFR,Ring interneuron,-5.15,-245.5,23.9
